id,university_code,university_name,university_level,branch_name,branch_code,combination_code,amount_student,type_admission,total_score,receive_time,deadline_time,geographic,university_rank
147,DHV,Đại học Hùng Vương,Đại học,Quản lý bệnh viện,52720701,A00,70,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-18,Hồ Chí Minh,78
148,DHV,Đại học Hùng Vương,Đại học,Quản lý bệnh viện,52720701,A01,70,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-18,Hồ Chí Minh,78
149,DHV,Đại học Hùng Vương,Đại học,Tài chính ngân hàng,52340201,D01,67,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-18,Hồ Chí Minh,78
150,DHV,Đại học Hùng Vương,Đại học,Tài chính ngân hàng,52340201,D07,67,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-18,Hồ Chí Minh,78
151,C42,Cao đẳng sư phạm Đà Lạt,Cao đẳng,Sư phạm Toán học,51140209,A00,19,Kết quả thi THPT QG,11,2017-08-13,2017-08-30,Lâm Đồng,99
152,C42,Cao đẳng sư phạm Đà Lạt,Cao đẳng,Sư phạm Toán học,51140209,A01,19,Kết quả thi THPT QG,11,2017-08-13,2017-08-30,Lâm Đồng,99
153,C42,Cao đẳng sư phạm Đà Lạt,Cao đẳng,Sư phạm Toán học,51140209,D90,19,Kết quả thi THPT QG,11,2017-08-13,2017-08-30,Lâm Đồng,99
154,C42,Cao đẳng sư phạm Đà Lạt,Cao đẳng,Sư phạm Toán học,51140209,A02,19,Kết quả thi THPT QG,11,2017-08-13,2017-08-30,Lâm Đồng,99
155,C42,Cao đẳng sư phạm Đà Lạt,Cao đẳng,Sư phạm Ngữ văn,51140217,C00,21,Kết quả thi THPT QG,10,2017-08-13,2017-08-30,Lâm Đồng,99
156,C42,Cao đẳng sư phạm Đà Lạt,Cao đẳng,Sư phạm Ngữ văn,51140217,D14,21,Kết quả thi THPT QG,10,2017-08-13,2017-08-30,Lâm Đồng,99
